NAME,clase,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,_NormalizedVDWVD1075,_PolarityD1075,_SecondaryStrD3025,_PolarityD3100,_ChargeD1100,_SecondaryStrT23,_PolarityD3025,_NormalizedVDWVC1,_NormalizedVDWVC3,_HydrophobicityT23,_SolventAccessibilityD1025,_PolarityD1100,_NormalizedVDWVD2100,_ChargeD3050,_PolarityD2001,_SolventAccessibilityD2025,_HydrophobicityD3050,_PolarityT12,_PolarityT13,_ChargeT23,_HydrophobicityD2100,_SolventAccessibilityD3001,_ChargeD1075,_SecondaryStrD1075,_PolarizabilityD2050,_SolventAccessibilityD3100,_PolarizabilityD1075,_HydrophobicityD3025,_PolarizabilityD3025,_SecondaryStrD3050,_SolventAccessibilityD2050,_HydrophobicityD2001,_SecondaryStrD2075,_PolarityD3050,_PolarityD1001,_ChargeD2075,_NormalizedVDWVD3025,_SolventAccessibilityD1100,_SecondaryStrD1100,_NormalizedVDWVD1001,_NormalizedVDWVD2050,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_NormalizedVDWVD3001,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeT12,_ChargeT13,_ChargeD1001,_ChargeD1025,_NormalizedVDWVD2025,_NormalizedVDWVD3050,_SecondaryStrD1025,_SolventAccessibilityD1050,_PolarizabilityD3001,_PolarityD2075,_SecondaryStrD3001,_ChargeD2025,_HydrophobicityD2050,_PolarizabilityD1100,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityD2100,_PolarizabilityD2001,_PolarizabilityD1025,_NormalizedVDWVT13,_PolarizabilityD3050,_SolventAccessibilityT13,_SolventAccessibilityT12,_PolarityD1050,_ChargeD3075,_SolventAccessibilityD1001,_HydrophobicityC3,_HydrophobicityD3100,_SecondaryStrD1050,_ChargeD3001,_SecondaryStrD2050,_PolarityD2025,_NormalizedVDWVD2001,_HydrophobicityD3075,_SecondaryStrD2025,_SolventAccessibilityD2001,_HydrophobicityD1025,_ChargeD1050,_SolventAccessibilityD3025,_PolarizabilityD3075,_PolarityD2100,_SecondaryStrD3100,_PolarizabilityT13,_PolarizabilityT12,_SecondaryStrD2001,_NormalizedVDWVD1050,_PolarizabilityD1050,_SolventAccessibilityT23,_ChargeC3,_ChargeC2,_ChargeC1,_NormalizedVDWVT23,_NormalizedVDWVD3100,_PolarizabilityD2025,_SolventAccessibilityD3075,_HydrophobicityD2075,_HydrophobicityD1075,_ChargeD2050,_ChargeD3100,_SecondaryStrC1,_ChargeD3025,_PolarityD3001,_PolarityD3075,_PolarityD1025,_SecondaryStrT13,_SecondaryStrT12,_HydrophobicityD1001,_SolventAccessibilityD1075,_HydrophobicityD1050,_HydrophobicityT13,_HydrophobicityT12,_SecondaryStrD1001,_NormalizedVDWVD1100,_NormalizedVDWVD3075,_NormalizedVDWVD1025,_SolventAccessibilityD2075,_SecondaryStrD2100,_PolarizabilityD3100,_SecondaryStrD3075,_NormalizedVDWVT12,_PolarizabilityT23,_SolventAccessibilityD3050,_PolarityT23,_PolarityD2050,_HydrophobicityD2025,_PolarizabilityD2075,_HydrophobicityD3001,_HydrophobicityD1100,_ChargeD2001,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_PolarizabilityD1001,_NormalizedVDWVD2075,_ChargeD2100,_PolarizabilityD2100,_PolarityC1,_PolarityC3,_PolarityC2
1cah,1,1,0.86,0.383333333,4,0.74,0.623333333,1,1,0.623333333,16,15,10,1166.8,666.9333333,68.821,77.186,21.673,99.24,99.24,0.187,14.068,0.384,0.27,0.21,30.038,98.859,97.338,44.867,4.563,26.616,55.894,0.118,0.126,0.21,98.479,1.141,80.989,77.567,58.935,98.479,66.16,32.319,17.49,49.049,50.57,1.141,73.764,42.586,2.281,74.144,17.49,98.859,99.24,1.141,56.274,0.327,0.395,0.27,1.521,0.319,0.251,0.327,0.191,0.019,3.802,22.433,30.038,43.346,25.095,53.232,1.521,84.411,1.141,24.715,43.726,98.479,0.319,0.388,99.24,4.563,21.673,0.21,43.346,0.24,0.324,54.753,72.243,2.281,0.278,98.859,48.289,5.703,51.331,23.954,4.563,78.327,26.236,3.802,26.616,50.57,16.73,69.202,96.958,98.479,0.187,0.267,2.281,47.909,44.106,0.153,0.122,0.745,0.118,0.153,99.24,30.038,73.384,68.821,81.369,49.81,92.395,0.407,26.616,1.521,64.639,30.418,0.252,0.21,3.802,73.004,50.57,0.21,0.267,1.521,98.479,69.202,21.293,81.369,98.859,99.24,70.722,0.282,0.176,41.445,0.053,58.935,18.631,80.608,2.281,99.24,1.141,0.407,0.319,0.259,1.141,80.608,98.859,97.338,0.308,0.163,0.194
1cam,1,0,0.13,0.13,3,0.61,0.563333333,1,1,0.563333333,33,23,11,1190.9,657.9,68.821,77.186,21.673,99.24,99.24,0.187,14.068,0.384,0.27,0.21,30.418,98.859,97.338,44.867,4.563,26.616,55.894,0.118,0.126,0.21,98.479,1.141,80.989,77.567,58.935,98.479,66.16,32.319,17.49,49.049,50.57,1.141,73.384,42.586,2.281,74.144,17.49,98.859,99.24,1.141,56.274,0.327,0.395,0.27,1.521,0.319,0.247,0.327,0.191,0.019,3.802,22.433,30.038,43.346,26.616,53.612,1.521,84.411,1.141,24.715,43.726,98.479,0.319,0.388,99.24,4.563,21.673,0.21,43.346,0.24,0.324,54.753,72.243,2.281,0.278,98.859,50.57,5.703,49.81,23.954,4.563,78.327,26.236,3.802,26.616,50.57,16.35,69.202,96.958,98.479,0.187,0.267,2.281,47.909,44.106,0.153,0.122,0.745,0.118,0.153,99.24,30.038,72.624,68.821,81.369,49.81,92.395,0.411,26.616,1.521,64.639,30.418,0.252,0.21,3.802,74.525,50.57,0.21,0.267,1.521,98.479,69.202,21.293,81.369,98.859,99.24,70.722,0.282,0.176,41.065,0.053,58.935,18.631,80.608,2.281,99.24,1.141,0.411,0.319,0.255,1.141,80.608,98.859,97.338,0.308,0.163,0.194
1cao,1,0,0.09,0.09,3,0.61,0.573333333,1,1,0.573333333,19,15.66666667,9,1304.1,790.8666667,68.939,77.273,21.97,99.242,99.242,0.186,14.394,0.383,0.269,0.209,30.303,98.864,97.348,45.076,4.924,26.894,56.061,0.118,0.125,0.209,98.485,1.515,81.061,77.652,59.091,98.485,66.288,32.576,17.803,49.242,50.758,1.515,73.864,42.803,2.652,74.242,17.803,98.864,99.242,1.515,56.439,0.326,0.394,0.269,1.894,0.318,0.25,0.326,0.19,0.019,4.167,22.727,30.303,43.561,25.379,53.409,1.894,84.47,1.515,25,43.939,98.485,0.318,0.386,99.242,4.924,21.97,0.209,43.561,0.24,0.323,54.924,72.348,2.652,0.277,98.864,48.485,6.061,51.515,24.242,4.924,78.409,26.515,4.167,26.894,50.758,17.045,69.318,96.97,98.485,0.186,0.266,2.652,48.106,44.318,0.152,0.121,0.742,0.117,0.152,99.242,30.303,73.485,68.939,81.439,50,92.424,0.405,26.894,1.894,64.773,30.682,0.251,0.209,4.167,73.106,50.758,0.209,0.266,1.894,98.485,69.318,21.591,81.439,98.864,99.242,70.833,0.281,0.175,41.667,0.053,59.091,18.939,80.682,2.652,99.242,1.515,0.405,0.318,0.258,1.515,80.682,98.864,97.348,0.307,0.163,0.193
1cd2,1,1,0.92,0.92,1,0.81,0.523333333,2,1,0.523333333,26,17.33333333,6,465.9,379.9,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1daj,1,1,0.89,0.89,2,0.81,0.576666667,2,1,0.576666667,34,17.66666667,7,452.6,305.1333333,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1dtl,1,2,1,0.99,2,0.81,0.606666667,0,0.31,0.606666667,16,15.33333333,3,612.9,337.4333333,69.697,72.121,32.121,96.97,96.97,0.14,24.848,0.345,0.242,0.098,19.394,98.182,98.788,54.545,7.273,27.273,49.091,0.116,0.085,0.329,97.576,1.818,65.455,72.121,44.848,96.364,75.758,26.061,27.273,53.939,53.939,4.242,76.364,53.333,1.818,72.121,27.273,98.182,98.788,2.424,47.273,0.388,0.4,0.242,1.818,0.333,0.218,0.291,0.177,0.03,4.848,24.848,25.455,52.727,24.848,46.061,1.818,75.152,2.424,23.03,43.03,97.576,0.442,0.23,98.788,3.636,22.424,0.152,52.727,0.159,0.354,49.091,80,3.636,0.303,98.182,49.697,2.424,46.061,25.455,3.636,72.121,18.182,2.424,27.273,53.333,28.485,72.727,98.788,97.576,0.152,0.25,3.636,45.455,46.667,0.14,0.279,0.594,0.103,0.183,96.97,25.455,63.636,67.879,77.576,46.061,98.788,0.467,34.545,4.848,65.455,26.061,0.238,0.213,2.424,72.121,53.939,0.287,0.207,1.818,97.576,72.727,23.636,77.576,98.182,96.97,76.97,0.25,0.183,49.697,0.03,39.394,21.818,73.333,1.818,98.788,1.818,0.352,0.442,0.182,2.424,74.545,98.182,98.788,0.321,0.103,0.218
1dyr,1,1,0.94,0.94,2,0.81,0.58,2,1,0.58,28,21,7,569.9,397.6666667,71.905,72.381,23.81,98.095,98.095,0.182,29.048,0.324,0.31,0.244,27.143,99.048,99.048,71.905,1.905,29.048,47.619,0.153,0.11,0.177,97.619,1.429,76.667,72.857,43.81,97.619,69.524,24.286,25.714,45.714,54.286,3.81,74.286,51.905,1.429,69.524,25.714,99.048,99.048,3.81,43.81,0.343,0.381,0.31,1.429,0.29,0.305,0.276,0.196,0.043,3.333,19.048,26.19,57.619,28.095,49.524,1.429,75.714,1.905,22.857,47.143,98.571,0.314,0.329,98.571,1.905,23.333,0.254,57.619,0.244,0.278,50.476,85.714,4.286,0.338,99.048,50,16.19,52.381,24.762,1.905,73.333,22.381,1.905,29.048,46.667,20.476,77.619,96.19,98.571,0.225,0.215,4.762,48.095,48.095,0.153,0.114,0.729,0.138,0.196,98.095,26.19,69.524,65.714,78.571,46.19,98.571,0.4,42.381,3.333,77.619,24.286,0.268,0.211,1.905,72.381,54.286,0.244,0.187,1.429,98.571,77.619,23.333,78.571,97.619,98.095,73.81,0.239,0.23,45.714,0.053,40.952,21.905,70,1.429,98.571,1.429,0.4,0.314,0.267,3.81,68.095,99.048,99.048,0.371,0.167,0.152
1e3g,1,2,0.99,1,4,0.83,0.743333333,1,0.99,0.743333333,26,20.33333333,8,693.2,536.5666667,74.532,74.157,18.352,98.502,96.629,0.162,28.09,0.266,0.3,0.282,22.097,98.127,99.251,44.195,1.124,24.719,50.936,0.169,0.135,0.158,98.876,2.247,72.285,72.285,51.685,98.876,73.783,27.715,34.831,42.322,51.685,2.247,76.03,57.678,1.873,74.157,34.831,98.127,99.251,2.247,50.936,0.397,0.464,0.3,1.498,0.221,0.292,0.232,0.18,0.015,1.498,39.7,19.85,50.187,24.719,43.446,1.498,68.539,2.996,24.345,44.569,98.876,0.303,0.288,99.251,1.124,18.352,0.177,50.187,0.237,0.252,49.813,68.539,1.873,0.393,98.127,50.187,4.12,53.184,14.981,1.124,74.157,28.464,1.124,24.719,62.921,31.835,74.906,99.251,97.004,0.165,0.211,2.247,42.322,41.573,0.169,0.094,0.783,0.109,0.207,98.502,19.85,79.026,74.532,71.91,47.94,91.011,0.461,15.356,1.498,74.906,28.464,0.199,0.259,1.124,70.787,51.685,0.252,0.169,1.124,98.876,74.906,18.352,71.91,98.876,98.502,72.659,0.222,0.226,47.94,0.045,44.195,20.225,74.157,1.873,99.251,1.124,0.431,0.303,0.251,2.247,72.659,99.251,99.251,0.423,0.142,0.199
1f5f,1,2,0.96,0.84,4,0.82,0.723333333,1,0.88,0.723333333,26,20.33333333,5,728.6,529.0666667,77.512,71.292,24.88,89.952,89.952,0.144,23.445,0.426,0.201,0.226,27.751,95.694,99.043,47.368,2.392,30.144,52.153,0.13,0.106,0.207,98.565,2.392,67.943,74.163,54.545,97.608,78.469,27.273,24.402,47.368,49.761,2.392,66.986,48.325,1.435,74.163,24.402,98.565,99.043,2.392,54.545,0.344,0.445,0.201,1.914,0.335,0.225,0.34,0.154,0.019,1.914,31.1,27.273,41.148,33.493,53.11,1.914,75.598,2.392,22.967,44.976,98.565,0.287,0.388,99.043,1.435,21.531,0.144,41.148,0.26,0.284,51.196,58.373,1.435,0.306,95.694,52.632,6.699,38.278,22.488,1.435,71.77,20.096,1.914,30.144,51.675,17.703,65.55,99.043,97.129,0.115,0.308,2.871,46.89,47.368,0.173,0.129,0.756,0.096,0.154,95.215,25.837,73.206,75.598,73.684,49.282,99.043,0.416,25.837,1.914,65.55,27.273,0.25,0.221,1.914,74.163,49.761,0.212,0.245,1.435,98.565,65.55,21.053,73.684,97.608,95.215,77.033,0.293,0.183,40.67,0.048,49.761,20.096,75.12,1.435,99.043,1.435,0.426,0.287,0.268,4.306,73.684,98.565,99.043,0.311,0.124,0.211
1fm6,1,4,0.99,0.94,4,0.82,0.67,1,0.99,0.67,15,13.66666667,7,620.5,888.1333333,68.182,79.752,17.355,97.934,90.083,0.116,38.43,0.343,0.236,0.228,29.752,98.76,98.347,41.322,2.066,21.074,52.479,0.158,0.108,0.216,99.174,1.24,75.62,76.446,45.455,99.174,66.116,28.926,34.298,44.215,51.653,1.24,74.793,55.372,3.306,74.38,34.298,97.107,98.76,1.24,44.628,0.388,0.463,0.236,3.306,0.285,0.231,0.248,0.166,0.033,4.959,33.058,21.901,57.025,27.273,49.587,3.306,69.421,1.24,25.207,47.521,99.174,0.298,0.343,98.347,2.066,23.14,0.174,57.025,0.187,0.261,52.893,69.421,1.653,0.343,98.76,54.132,2.479,49.587,14.463,2.066,80.992,23.967,2.066,21.074,56.198,18.182,79.339,98.347,97.521,0.154,0.253,4.132,47.107,47.107,0.187,0.132,0.748,0.103,0.178,98.76,19.835,76.033,73.14,71.074,48.347,96.694,0.504,11.983,4.959,76.033,28.926,0.237,0.237,2.066,74.38,51.653,0.228,0.22,1.653,99.174,79.339,20.661,71.074,99.174,98.76,66.116,0.27,0.212,48.347,0.041,30.992,23.14,73.554,3.306,98.347,1.24,0.446,0.298,0.24,1.24,70.248,99.174,98.347,0.36,0.136,0.202
